Mv1      lamL   xs_14TeV    xs_lim_36.1(fb)    xs_lim_100(fb)    xs_lim_3000(fb)
440.0    10.00       5.26          53.13             31.92             5.83
440.0    11.00       6.37          54.53             32.76             5.98
440.0    12.00       7.57          52.03             31.26             5.71
450.0    1.00       0.05          49.87             29.97             5.47
450.0    2.00       0.18          53.43             32.10             5.86
450.0    3.00       0.42          53.95             32.41             5.92
450.0    4.00       0.74          52.34             31.45             5.74
450.0    5.00       1.15          54.16             32.54             5.94
450.0    6.00       1.66          54.88             32.98             6.02
450.0    7.00       2.27          46.92             28.19             5.15
450.0    8.00       2.96          49.79             29.91             5.46
450.0    9.00       3.74          50.41             30.29             5.53
450.0    10.00       4.62          54.58             32.79             5.99
450.0    11.00       5.58          48.85             29.35             5.36
450.0    12.00       6.65          50.61             30.41             5.55
460.0    1.00       0.04          45.91             27.58             5.04
460.0    2.00       0.16          54.10             32.50             5.93
460.0    3.00       0.37          46.68             28.04             5.12
460.0    4.00       0.65          52.97             31.82             5.81
460.0    5.00       1.02          54.67             32.85             6.00
460.0    6.00       1.47          52.71             31.67             5.78
460.0    7.00       1.99          56.52             33.96             6.20
460.0    8.00       2.60          50.93             30.60             5.59
460.0    9.00       3.30          52.83             31.74             5.79
460.0    10.00       4.06          53.54             32.17             5.87
460.0    11.00       4.92          53.75             32.30             5.90
460.0    12.00       5.86          54.66             32.84             6.00
470.0    1.00       0.04          46.03             27.66             5.05
470.0    2.00       0.14          50.18             30.15             5.50
470.0    3.00       0.32          48.23             28.98             5.29
470.0    4.00       0.57          52.01             31.25             5.71
470.0    5.00       0.90          49.09             29.49             5.38
470.0    6.00       1.29          47.25             28.39             5.18
470.0    7.00       1.76          50.88             30.57             5.58
470.0    8.00       2.29          50.91             30.59             5.58
470.0    9.00       2.91          48.81             29.33             5.35
470.0    10.00       3.59          49.26             29.60             5.40
470.0    11.00       4.34          51.80             31.12             5.68
470.0    12.00       5.17          55.83             33.55             6.12
480.0    1.00       0.03          48.75             29.29             5.35
480.0    2.00       0.13          52.45             31.51             5.75
480.0    3.00       0.29          48.37             29.06             5.31
480.0    4.00       0.51          46.18             27.75             5.07
480.0    5.00       0.79          50.22             30.17             5.51
480.0    6.00       1.14          45.26             27.20             4.97
480.0    7.00       1.55          48.31             29.03             5.30
480.0    8.00       2.03          51.19             30.76             5.62
480.0    9.00       2.57          49.76             29.90             5.46
480.0    10.00       3.17          49.80             29.92             5.46
480.0    11.00       3.84          55.39             33.28             6.08
480.0    12.00       4.57          53.73             32.28             5.89
490.0    1.00       0.03          48.89             29.38             5.36
490.0    2.00       0.11          56.01             33.66             6.14
490.0    3.00       0.25          50.48             30.33             5.54
490.0    4.00       0.45          51.70             31.06             5.67
490.0    5.00       0.70          50.65             30.43             5.56
490.0    6.00       1.01          47.87             28.76             5.25
490.0    7.00       1.38          49.40             29.68             5.42
490.0    8.00       1.80          52.09             31.30             5.71
490.0    9.00       2.28          47.83             28.74             5.25
490.0    10.00       2.81          50.94             30.61             5.59
490.0    11.00       3.40          46.62             28.01             5.11
490.0    12.00       4.05          47.81             28.72             5.24
500.0    1.00       0.02          48.21             28.96             5.29
500.0    2.00       0.10          48.75             29.29             5.35
500.0    3.00       0.22          46.66             28.04             5.12
500.0    4.00       0.40          48.51             29.14             5.32
500.0    5.00       0.62          51.56             30.98             5.66
500.0    6.00       0.90          52.35             31.46             5.74
500.0    7.00       1.22          54.33             32.65             5.96
500.0    8.00       1.60          45.52             27.35             4.99
500.0    9.00       2.02          49.44             29.71             5.42
500.0    10.00       2.50          48.92             29.39             5.37
500.0    11.00       3.02          49.09             29.49             5.38
500.0    12.00       3.59          50.26             30.20             5.51
510.0    1.00       0.02          54.09             32.50             5.93
510.0    2.00       0.09          46.78             28.11             5.13
510.0    3.00       0.20          46.66             28.04             5.12
510.0    4.00       0.36          44.86             26.95             4.92
510.0    5.00       0.56          47.71             28.67             5.23
510.0    6.00       0.80          48.40             29.08             5.31
510.0    7.00       1.09          47.75             28.69             5.24
510.0    8.00       1.42          54.36             32.66             5.96
510.0    9.00       1.80          48.19             28.96             5.29
510.0    10.00       2.22          49.59             29.80             5.44
510.0    11.00       2.69          50.20             30.16             5.51
510.0    12.00       3.19          52.19             31.36             5.73
